Price,Bedrooms,Bathrooms,Floors,"Waterfront
0 = no
1 = yes","Condition
1 = worn out
5 = excellent","Grade
1 = poor
13 = excellent",Year Built,"Living Space 
(sq.ft.)","Lot Size 
(sq. ft.)"
592500,4,2.5,1,0,3,9,1983,2520,12368
465000,3,2.5,2,0,3,9,2005,2590,18386
477000,4,2.75,2,0,3,8,1978,2130,8700
280000,2,1,1,0,3,6,1923,1100,14459
1.51E+06,5,3,1,0,3,9,1957,3836,20953
445838,3,2.5,2,0,3,8,2000,1320,5390
1.07E+06,2,2.25,1,0,3,8,1947,2580,5184
467000,2,1.5,1,0,4,8,1947,2120,12040
686000,4,2.5,2,0,3,10,1999,3070,8127
279950,3,2,1,0,3,7,1961,1900,10125
527000,4,2.25,2,0,3,8,1987,1910,10055
325000,3,2.25,1,0,4,8,1966,2080,9583
328000,3,2.25,2,0,3,7,1994,2020,8031
390000,3,2.25,1,0,5,7,1942,1280,7392
479950,2,2,1,0,3,8,2005,1640,6009
264950,4,2.25,1,0,4,7,1978,1510,9753
235000,3,1,1,0,4,7,1961,1960,13068
516500,3,2.5,2,0,3,7,2004,2250,4729
655000,2,1.75,2,1,3,7,1915,2030,13193
500000,4,2.75,1,0,5,7,1960,2280,15347
315000,6,2.75,1,0,3,8,1978,2120,8236
213000,2,1,1,0,3,6,1961,1150,13702
475000,3,1.5,1.5,0,5,7,1947,2090,4800
1.03E+06,5,4,2,0,3,10,1983,3430,35096
416000,3,2,1,0,5,7,1976,2070,80100
410000,4,1,1.5,0,3,7,1904,1510,4740
800000,3,3.5,2,0,3,10,1993,2920,148539
472000,6,2.5,1,0,4,9,1965,2600,13988
225000,3,1.75,1,0,4,7,1968,1190,8640
210000,2,1,1,0,3,6,1940,830,4960
455000,2,1,1.5,0,2,7,1925,1450,3750
225000,3,1,1,0,4,6,1954,1260,8316
480000,2,1,1,0,4,7,1918,1390,3060
363000,3,2.5,2,0,3,9,1990,2570,10377
2.40E+06,4,2.5,1,1,3,9,2000,3120,18841
181000,2,1.5,1,0,3,6,1954,1150,2566
250000,4,2,1,0,4,7,1976,2010,7650
481000,3,1.75,1,0,4,6,1918,1390,3000
260000,3,2,1,0,4,7,1978,1750,7209
455000,4,2.5,2,0,3,9,2001,3060,6567
415000,3,2.25,2,0,3,8,1991,1730,36224
349500,3,1,1,0,3,7,1953,1620,6331
245000,3,2.5,2,0,3,7,1987,1630,6458
592500,2,2,1.5,0,5,7,1928,1420,6816
385000,4,1.75,1,0,4,7,1955,1910,7620
315000,3,1.75,1,0,4,7,1974,1550,10650
255000,3,1,1,0,3,7,1979,1380,10098
693000,4,2.5,2,0,3,8,2006,2990,5659
780000,3,1,1.5,0,3,8,1911,1660,4400
237000,3,1.75,1,0,4,7,1960,1600,8470
525000,3,2.25,2,0,3,10,1979,2380,33450
425000,2,1,1,0,3,5,1930,1330,2580
369900,1,0.75,1,1,5,5,1936,1230,14267
290000,4,2.5,2,0,4,7,1988,1950,7475
285000,3,1,1,0,3,7,1954,1130,6350
415000,2,1,1,0,3,7,1937,1320,4465
272500,3,2.5,1,0,3,8,1979,2070,8250
2.90E+06,4,3.25,1.5,0,3,11,1982,3890,20060
1.37E+06,4,4.75,2,0,4,11,1989,4180,47443
436000,2,1,1,0,4,7,1939,1440,7530
210000,3,1,1,0,4,7,1967,1350,8164
236000,3,1,1,0,3,7,1961,1320,7619
331000,3,1.75,1,0,3,7,1954,1440,2225
365000,3,2.5,2,0,3,8,2006,2653,4927
450000,3,2,1,0,5,8,1960,1660,10530
770000,4,2.75,2,0,3,9,2014,1860,12136
455000,4,2.5,1,0,3,8,1997,2670,49385
405000,3,1.75,1,0,3,6,1908,2020,6000
304900,4,1.75,1,0,4,7,1969,1720,11088
170000,2,1,1,0,3,6,1931,1650,8775
2.05E+06,5,3,2,0,5,9,1905,3050,7556
780000,4,2.5,2,0,3,9,2005,3920,7864
330000,3,3,1,0,4,8,1988,2570,13300
370000,4,2.5,2,0,3,9,1992,2410,8100
467000,5,2.25,1,0,3,7,1979,2300,9750
405000,3,1.75,1,0,3,7,1980,1670,7320
675000,5,2.25,1,0,3,8,1985,2310,10300
500000,2,1,1,0,4,7,1954,1520,13527
389999,4,2.5,2,0,4,7,1968,2410,15256
630000,4,1.75,1,0,4,8,1975,2120,9600
360000,4,2.5,2,0,3,9,1992,2280,9937
580000,4,3,2,0,3,8,1986,2320,11004
550000,3,2,2,0,5,8,1929,2390,4166
879000,4,2.5,2,0,3,10,1994,3150,11374
265000,3,2,1,0,3,7,1993,1740,7316
446500,3,2.5,2,0,3,8,1990,2400,7220
404000,3,1.5,1,0,3,7,1963,2140,5592
267500,3,1.75,1,0,3,7,1957,1630,9052
3.08E+06,4,5,1,1,3,10,2002,4550,19508
335000,3,2.5,2,0,3,8,1998,2510,7903
576000,3,2.5,1,0,4,7,1948,2190,7310
208633,3,2.5,2,0,3,8,2006,2370,4590
315000,3,2.25,1,0,4,7,1964,1460,10139
725000,3,1.75,1,0,4,8,1913,1740,4000
550000,4,2.75,1,0,4,8,1965,1800,8275
610750,4,2.25,2,0,3,8,1984,2250,9781
550700,2,1,1.5,0,4,6,1908,1460,5000
665000,4,2.75,2,0,5,8,1960,2720,8330
834000,4,2.5,1.5,0,5,8,1928,2440,5750
201000,5,1.75,1.5,0,3,6,1915,1660,78408
2.38E+06,5,2.5,2,0,5,10,1921,2880,5400
1.38E+06,4,3.25,1,0,3,11,1997,3860,11244
1.40E+06,4,3.25,1,0,3,11,1997,3860,11244
305000,4,2.25,1,0,3,8,1979,2150,7350
487000,3,2,1,0,5,8,1948,1570,8162
390000,3,2.5,1,0,4,8,1988,2350,57500
548000,2,1,1,0,4,7,1916,1570,3864
268750,4,1,1,0,3,6,1943,1310,8775
819900,5,2.75,2,0,3,9,2013,1560,8384
520000,3,2.25,2,0,3,8,1984,2660,17958
230000,3,2,1,0,3,7,2003,1520,9518
240000,3,1.75,1,0,3,7,1969,1510,9753
232000,2,1,1,0,3,6,1922,1820,7460
240500,2,1,1,0,3,6,1922,1820,7460
274975,3,2.5,2,0,3,9,1987,3080,35781
740000,4,2,1.5,0,4,9,1922,2320,5500
186375,3,1,1,0,2,7,1952,1150,7600
790000,3,2.25,1,0,4,9,1977,2500,10004
880000,4,3.5,2,0,3,9,1951,2370,6120
279000,6,1.75,2,0,4,7,1955,1590,7955
295000,3,2,1,0,3,8,1991,1910,10450
640000,2,1,1,0,3,7,1924,1710,5000
940000,4,2,2,0,5,9,1968,2770,9525
260000,4,2.5,2,0,3,7,2003,1800,5894
559900,3,2.75,1,0,3,9,2004,2580,11045
791500,4,2,1.5,0,5,7,1911,1820,3750
265000,3,1.75,1,0,3,7,1954,1740,8000
245000,3,1.75,1,0,3,7,1954,880,78408
485000,4,1.75,2,0,4,7,1962,2560,14764
684000,4,3.5,2,0,3,9,2010,3470,8066
425000,3,1.75,1,0,3,8,1957,1580,8691
309600,4,1.75,1,0,4,6,1991,1660,20000
552250,4,2.5,2,0,3,8,2002,2380,5823
165000,4,1,1,0,3,6,1943,1020,7138
239900,4,1,1,0,3,6,1943,1020,7138
320000,2,1,1,0,4,6,1930,1360,32156
206600,3,2,1,0,4,7,1987,1720,12080
387000,4,1.75,1,0,3,7,1973,2040,8646
299000,1,0.75,1,0,3,4,1967,1300,19207
855000,4,2.75,2,0,3,9,1965,2610,10180
315000,3,1,1,0,4,7,1954,1940,14400
437500,2,1,1,0,5,7,1907,1930,3120
252000,4,1.5,1,0,4,7,1969,1640,22654
375000,4,1.75,1,0,5,7,1955,1600,5766
300000,4,2.5,2,0,3,7,2005,2010,5091
420000,4,1,1.5,0,4,7,1954,1750,10530
900000,3,1,1,0,3,7,1928,1340,17689
679900,3,2.5,2,0,3,9,2000,1520,5750
463000,3,2.5,2,0,3,7,1992,1580,28399
380000,5,2.5,2,0,4,9,1978,2470,11340
329500,4,2.5,2,0,3,7,1994,1820,8168
604950,3,2.5,1,0,3,8,2013,2040,9363
795000,5,2.5,1,0,4,8,1966,2920,8800
465000,3,2,2,0,3,7,1994,1380,44049
673000,4,2.5,2,0,3,9,2002,2140,17449
810000,4,2.5,2,0,3,10,1991,3400,21455
785000,4,2.75,1,0,4,8,1989,2770,24361
338000,4,3,1,0,3,7,1986,1810,7650
280000,3,2.25,2,0,3,7,1993,1430,7220
315000,4,2.25,1,0,5,7,1954,1810,6929
530000,4,2.25,1,0,5,7,1954,1810,6929
380000,5,3,2,0,3,9,2004,2860,9721
297000,3,2.25,2,0,3,7,1994,1650,7625
730000,4,2.5,2,0,3,10,2004,3480,7447
450000,3,1.75,1,0,3,7,1940,1770,12600
275000,3,3,1,0,3,7,1997,1680,7500
595000,4,2,2,0,3,7,1960,1910,3120
435000,3,1.5,1.5,0,3,7,1904,1590,2577
270000,2,1.5,1,0,1,6,1954,3130,19868
950000,3,3,2,0,3,10,1986,3360,14142
389000,4,2.25,2,0,3,7,2001,2300,6930
560000,4,2.25,1,0,3,8,1968,2420,8050
1.35E+06,5,3.5,2,0,3,11,1998,4050,19009
799000,4,2.25,2,0,4,8,1969,2450,9691
365500,3,2,1,0,4,7,1983,1410,9600
252350,3,2,1,0,3,7,1979,1710,7350
403950,4,2.5,2,0,3,8,1993,1880,12000
385000,4,1.5,1,0,3,7,1954,1610,10020
345000,4,1,1.5,0,3,7,1957,1450,7620
490000,3,2.75,2,0,4,9,1979,1950,2856
330000,3,2.5,2,0,3,8,2005,1790,27743
927000,4,2.75,2,0,3,8,1953,3180,12239
1.12E+06,4,2.5,2,0,4,10,1983,3600,16553
330000,2,1,1,0,5,7,1950,2000,9600
530000,5,2.25,1,0,4,7,1958,2110,8800
365000,4,2,1,0,1,8,1962,2000,10071
378750,3,2.5,1.5,0,3,7,1909,1060,3500
269900,4,1.75,1.5,0,4,7,1968,1390,8750
557000,3,3.5,2,0,3,8,2008,1630,1543
360000,4,1.75,1,0,4,7,1974,1880,16963
352000,2,1,1,0,4,7,1937,1560,4500
437000,3,2.5,2,0,3,8,1994,2430,22357
322500,4,2.5,2,0,3,7,1994,1820,7107
650000,3,3.25,2,0,3,9,2001,1510,1352
450000,3,2,3,0,3,8,2001,1290,3235
278500,3,2,1,0,3,7,1998,1570,5250
364950,4,2.5,2,0,3,8,1995,2090,6996
840000,4,3.5,1,0,4,10,1986,3180,36852
268000,3,2.5,2,0,3,7,1991,1550,8134
517534,2,1,1,0,3,5,2006,1380,143947
632925,3,2.5,2,0,4,8,1978,2990,36497
577500,3,2.5,2,0,3,9,1995,2450,8118
339000,4,1.5,1.5,0,3,7,1920,2850,6867
570000,3,1.75,1,0,4,7,1967,2520,18295
563500,4,1.75,1,0,3,7,1964,2690,174240
423000,4,2.25,1,0,5,7,1962,1910,8660
355000,3,2.25,2,0,3,8,2012,2320,5465
1.55E+06,5,4.25,2,0,3,12,1999,4680,211267
482000,2,1,1,0,3,7,1941,1320,4050
625000,3,1.75,1,0,5,7,1955,1580,9800
538000,3,2.5,2,0,3,8,1988,2360,11632
380000,3,2.5,2,0,4,8,1985,2310,10094
375000,2,1,1,0,3,7,1909,1300,5120
245000,3,2.5,1,0,5,7,1996,1850,8140
310000,5,1.75,1,0,4,7,1947,1620,39480
1.30E+06,3,2,1,0,4,8,1976,3530,15715
397000,4,2,1,0,3,7,1971,1460,9660
365000,3,2.5,2,0,3,8,2005,2310,5082
328500,4,3,2,0,3,9,1990,2290,8250
988000,4,3,2,0,3,11,1987,3930,21887
1.00E+06,4,2.5,1.5,0,5,8,1922,1810,3277
237000,3,2.5,2,0,3,7,2005,1490,2094
525000,4,2.5,2,0,3,8,2003,2300,4674
749000,4,2.5,1,0,3,9,1976,2140,9131
722500,5,2.5,2,0,3,10,1983,3180,11398
843000,3,2.5,2,0,3,10,1991,2860,9003
438000,2,2,3,0,3,8,2000,1610,3090
578000,3,1.75,1,0,3,8,1977,2460,11760
227950,3,1.5,1,0,5,7,1954,2077,4910
196000,3,2.25,2,0,3,7,1974,1890,7519
641000,2,1,1,0,3,8,1953,2400,5406
350000,3,1.5,1,0,4,6,1980,1930,210394
205000,3,1,1,0,4,7,1960,1150,8050
400000,3,1.75,1,0,3,7,1968,1920,9760
1.03E+06,3,2.5,1,0,3,10,2005,3630,7704
505000,3,2,1,0,3,7,1972,1510,5460
475000,5,2.5,1,0,3,7,1975,1930,7221
520000,3,2.25,1,0,5,8,1977,2580,9450
1.45E+06,3,4.5,2,0,3,10,1977,2610,13838
333500,3,1.75,1,0,3,7,1965,1630,10007
232000,3,1,1,0,4,6,1976,1230,10209
691100,3,2.75,1,0,4,8,1983,2120,16117
811000,3,1.75,1,0,4,8,1960,1900,10005
551000,3,2.5,2,0,3,9,2001,2500,5788
496500,3,2.5,2,0,3,8,1994,2350,3710
705000,3,3,2,1,4,9,1980,2280,75396
578000,4,2.5,1,0,5,9,1966,2460,9600
255000,3,1.75,1,0,5,7,1986,1490,8223
1.05E+06,4,3.5,2,0,3,10,2007,3220,8567
348000,3,2.25,2,0,4,8,1989,2400,8049
230000,3,2,2,0,3,7,1985,1570,3777
359500,4,2.25,2,0,3,9,1988,2480,11250
330000,3,1,1,0,3,6,1953,1220,7000
80000,1,0.75,1,0,2,4,1912,1200,7500
465000,3,1.75,1,0,3,7,1954,1480,6360
325000,4,2.5,2,0,3,8,1997,2100,7329
340500,3,2,1,0,4,7,1947,1770,14833
342500,3,2.5,2,0,3,8,1993,1810,6200
290900,2,2,2,0,3,6,1930,1310,12950
868700,3,4.25,2,0,3,10,2000,3230,7709
1.20E+06,4,2.75,2,0,3,9,1928,2820,8400
1.15E+06,4,3.25,2,0,3,11,2000,4300,11919
859900,4,2.75,2,0,3,9,2011,3390,7111
520000,4,2.25,2,0,3,7,2003,1580,3000
460000,3,2.5,2,0,3,9,2005,1610,4173
438924,3,1.5,1,0,3,7,1949,1770,5400
315000,2,1,1,0,3,5,1918,1420,6550
590000,4,2.75,1,0,3,8,1975,2920,10988
378500,4,1.75,1,0,3,7,1955,1620,9000
328500,3,2.5,2,0,4,9,1990,2350,7691
849950,3,3,2,0,4,8,1973,2230,11553
525000,3,1.5,1,0,3,7,1950,1730,6012
1.39E+06,4,3.25,2.5,0,3,9,1993,3850,181319
295000,4,2.5,1,0,4,8,1978,2060,8250
1.07E+06,6,3.5,2,0,3,11,1998,3600,11793
207950,2,2,1,0,3,6,1917,1860,5000
699900,4,2.75,2,0,3,9,2002,2820,7302
1.28E+06,5,2.5,2,0,4,8,1977,3080,11081
452000,4,1.5,1,0,4,7,1963,1560,7350
370000,3,2,1,0,4,7,1987,1680,4921
232000,3,1.75,1,0,5,7,1968,1300,10794
669950,5,2.5,2,0,4,7,1960,1910,10392
397500,3,2,1,0,3,7,1972,1660,6600
490000,2,2.5,2,0,3,8,2004,1240,1350
725000,4,2,2,0,3,9,1925,1440,4420
299000,3,2.75,1,0,4,7,1958,2424,12410
625000,2,1.5,1.5,0,4,7,1900,1590,4025
437500,3,2.5,2,0,3,7,2000,2530,4816
650000,4,2.5,2,0,3,9,2003,3030,5335
475000,2,1,1,0,3,7,1929,1460,3825
342000,3,2,1,0,4,8,1966,2200,12825
1.20E+06,4,2.5,2,0,3,10,1999,2720,10000
280000,3,1.5,1,0,4,7,1963,1930,10200
240000,2,1.75,1,0,3,7,1993,1450,11682
529000,3,1,1.5,0,4,7,1924,1640,3333
442000,3,1,1,0,4,7,1941,1690,5100
615000,2,1,1,0,4,7,1946,1420,5538
1.49E+06,4,3.75,2,0,3,10,2006,2160,7200
585000,4,1.75,1,0,4,8,1981,1980,8750
480000,4,2.5,2,0,3,8,2005,2830,7787
1.10E+06,5,3.5,2,0,4,9,1990,2900,50529
290000,4,1,1.5,0,3,7,1949,1220,660
615000,3,1.75,1,0,5,7,1951,1770,5000
300000,2,1,1,0,4,7,1950,1460,7680
308000,3,1,1.5,0,3,6,1932,1860,11811
750000,3,2.5,2,0,3,9,2001,2080,8615
2.25E+06,4,2.25,2.5,0,5,9,1916,2950,9323
890000,4,3.25,2,0,3,10,2005,2200,178160
288000,3,1,1,0,5,6,1958,1190,7560
190000,2,1,1,0,3,6,1943,1470,6840
515000,5,3,1,0,3,8,2005,2290,4011
235000,4,1.5,1,0,4,5,1930,1690,9040
275000,2,1,1,0,3,6,1951,940,5000
727500,2,2,1,0,4,7,1952,1380,9121
650000,4,2.5,2,0,3,7,2003,2740,6587
1.60E+06,6,5,2,0,3,11,2001,4210,233971
365000,4,1,1.5,0,3,6,1944,1320,7085
662000,3,1.75,1,0,3,9,1984,2590,28837
270500,3,2.5,1,0,3,7,1978,1680,7848
200000,2,1.5,2,0,3,7,1978,1360,1898
970000,4,3.25,2,0,3,10,1987,3340,49206
